scenario,i,j,attribute_i,attribute_j,pair_column,v,main_i,main_j,active
olive_pitter,2,3,splash_containment,pit_accuracy,v_2_3,-97.0,0.0,0.0,True
olive_pitter,2,4,splash_containment,olive_damage,v_2_4,0.0,0.0,-48.0,False
olive_pitter,2,5,splash_containment,handle_comfort,v_2_5,0.0,0.0,16.0,False
olive_pitter,3,4,pit_accuracy,olive_damage,v_3_4,0.0,0.0,-48.0,False
olive_pitter,3,5,pit_accuracy,handle_comfort,v_3_5,0.0,0.0,16.0,False
olive_pitter,4,5,olive_damage,handle_comfort,v_4_5,0.0,-48.0,16.0,False
wood_burner,1,2,max_temperature,heat_up_time,v_1_2,0.0,0.0,26.0,False
wood_burner,1,3,max_temperature,tip_varieties,v_1_3,0.0,0.0,24.0,False
wood_burner,1,4,max_temperature,cord_length,v_1_4,0.0,0.0,50.0,False
wood_burner,1,5,max_temperature,temperature_stability,v_1_5,68.0,0.0,0.0,True
wood_burner,2,3,heat_up_time,tip_varieties,v_2_3,0.0,26.0,24.0,False
wood_burner,2,4,heat_up_time,cord_length,v_2_4,0.0,26.0,50.0,False
wood_burner,2,5,heat_up_time,temperature_stability,v_2_5,0.0,26.0,0.0,False
wood_burner,3,4,tip_varieties,cord_length,v_3_4,0.0,24.0,50.0,False
wood_burner,3,5,tip_varieties,temperature_stability,v_3_5,0.0,24.0,0.0,False
wood_burner,4,5,cord_length,temperature_stability,v_4_5,0.0,50.0,0.0,False
hotel,1,2,distance_to_city_center,room_size,v_1_2,65.0,0.0,0.0,True
hotel,1,3,distance_to_city_center,guest_rating,v_1_3,0.0,0.0,46.0,False
hotel,1,4,distance_to_city_center,noise_level,v_1_4,0.0,0.0,0.0,False
hotel,1,5,distance_to_city_center,age_of_property,v_1_5,0.0,0.0,12.0,False
hotel,2,3,room_size,guest_rating,v_2_3,0.0,0.0,46.0,False
hotel,2,4,room_size,noise_level,v_2_4,0.0,0.0,0.0,False
hotel,2,5,room_size,age_of_property,v_2_5,0.0,0.0,12.0,False
hotel,3,4,guest_rating,noise_level,v_3_4,0.0,46.0,0.0,False
hotel,3,5,guest_rating,age_of_property,v_3_5,0.0,46.0,12.0,False
hotel,4,5,noise_level,age_of_property,v_4_5,0.0,0.0,12.0,False
hot_glue_sticks,1,2,stick_length,holding_strength,v_1_2,0.0,32.0,0.0,False
hot_glue_sticks,1,3,stick_length,drying_time,v_1_3,0.0,32.0,22.0,False
hot_glue_sticks,1,4,stick_length,flexibility_when_dry,v_1_4,0.0,32.0,0.0,False
hot_glue_sticks,1,5,stick_length,quantity_per_pack,v_1_5,0.0,32.0,50.0,False
hot_glue_sticks,2,3,holding_strength,drying_time,v_2_3,0.0,0.0,22.0,False
hot_glue_sticks,2,4,holding_strength,flexibility_when_dry,v_2_4,-78.0,0.0,0.0,True
hot_glue_sticks,2,5,holding_strength,quantity_per_pack,v_2_5,0.0,0.0,50.0,False
hot_glue_sticks,3,4,drying_time,flexibility_when_dry,v_3_4,0.0,22.0,0.0,False
hot_glue_sticks,3,5,drying_time,quantity_per_pack,v_3_5,0.0,22.0,50.0,False
hot_glue_sticks,4,5,flexibility_when_dry,quantity_per_pack,v_4_5,0.0,0.0,50.0,False
scrunchie,1,2,scrunchie_diameter,elastic_strength,v_1_2,52.0,0.0,0.0,True
scrunchie,1,3,scrunchie_diameter,fabric_volume,v_1_3,0.0,0.0,-43.0,False
scrunchie,1,4,scrunchie_diameter,ruffle_depth,v_1_4,0.0,0.0,44.0,False
scrunchie,1,5,scrunchie_diameter,fabric_softness,v_1_5,0.0,0.0,-16.0,False
scrunchie,2,3,elastic_strength,fabric_volume,v_2_3,0.0,0.0,-43.0,False
scrunchie,2,4,elastic_strength,ruffle_depth,v_2_4,0.0,0.0,44.0,False
scrunchie,2,5,elastic_strength,fabric_softness,v_2_5,0.0,0.0,-16.0,False
scrunchie,3,4,fabric_volume,ruffle_depth,v_3_4,0.0,-43.0,44.0,False
scrunchie,3,5,fabric_volume,fabric_softness,v_3_5,0.0,-43.0,-16.0,False
scrunchie,4,5,ruffle_depth,fabric_softness,v_4_5,0.0,44.0,-16.0,False
rfid_wallet,1,2,blocking_effectiveness,card_capacity,v_1_2,0.0,0.0,50.0,False
rfid_wallet,1,3,blocking_effectiveness,expected_lifespan,v_1_3,0.0,0.0,16.0,False
rfid_wallet,1,4,blocking_effectiveness,thickness,v_1_4,-50.0,0.0,0.0,True
rfid_wallet,1,5,blocking_effectiveness,scratch_resistance,v_1_5,0.0,0.0,21.0,False
rfid_wallet,2,3,card_capacity,expected_lifespan,v_2_3,0.0,50.0,16.0,False
rfid_wallet,2,4,card_capacity,thickness,v_2_4,0.0,50.0,0.0,False
rfid_wallet,2,5,card_capacity,scratch_resistance,v_2_5,0.0,50.0,21.0,False
rfid_wallet,3,4,expected_lifespan,thickness,v_3_4,0.0,16.0,0.0,False
rfid_wallet,3,5,expected_lifespan,scratch_resistance,v_3_5,0.0,16.0,21.0,False
rfid_wallet,4,5,thickness,scratch_resistance,v_4_5,0.0,0.0,21.0,False
blush,1,2,color_intensity,blend_time,v_1_2,0.0,38.0,6.0,False
blush,1,3,color_intensity,staying_power,v_1_3,0.0,38.0,50.0,False
blush,1,4,color_intensity,shimmer_level,v_1_4,0.0,38.0,0.0,False
blush,1,5,color_intensity,buildability,v_1_5,0.0,38.0,0.0,False
blush,2,3,blend_time,staying_power,v_2_3,0.0,6.0,50.0,False
blush,2,4,blend_time,shimmer_level,v_2_4,0.0,6.0,0.0,False
blush,2,5,blend_time,buildability,v_2_5,0.0,6.0,0.0,False
blush,3,4,staying_power,shimmer_level,v_3_4,0.0,50.0,0.0,False
blush,3,5,staying_power,buildability,v_3_5,0.0,50.0,0.0,False
blush,4,5,shimmer_level,buildability,v_4_5,79.0,0.0,0.0,True
cocktail_kit,1,2,number_of_tools,shaker_capacity,v_1_2,0.0,50.0,20.0,False
cocktail_kit,1,3,number_of_tools,number_of_recipes,v_1_3,0.0,50.0,0.0,False
cocktail_kit,1,4,number_of_tools,tool_durability,v_1_4,0.0,50.0,28.0,False
cocktail_kit,1,5,number_of_tools,storage_case_size,v_1_5,0.0,50.0,0.0,False
cocktail_kit,2,3,shaker_capacity,number_of_recipes,v_2_3,0.0,20.0,0.0,False
cocktail_kit,2,4,shaker_capacity,tool_durability,v_2_4,0.0,20.0,28.0,False
cocktail_kit,2,5,shaker_capacity,storage_case_size,v_2_5,0.0,20.0,0.0,False
cocktail_kit,3,4,number_of_recipes,tool_durability,v_3_4,0.0,0.0,28.0,False
cocktail_kit,3,5,number_of_recipes,storage_case_size,v_3_5,-83.0,0.0,0.0,True
cocktail_kit,4,5,tool_durability,storage_case_size,v_4_5,0.0,28.0,0.0,False
security_camera,1,2,resolution,field_of_view,v_1_2,0.0,31.0,-32.0,False
security_camera,1,3,resolution,night_vision_range,v_1_3,0.0,31.0,0.0,False
security_camera,1,4,resolution,storage_capacity,v_1_4,0.0,31.0,-2.0,False
security_camera,1,5,resolution,motion_detection_range,v_1_5,0.0,31.0,0.0,False
security_camera,2,3,field_of_view,night_vision_range,v_2_3,0.0,-32.0,0.0,False
security_camera,2,4,field_of_view,storage_capacity,v_2_4,0.0,-32.0,-2.0,False
security_camera,2,5,field_of_view,motion_detection_range,v_2_5,0.0,-32.0,0.0,False
security_camera,3,4,night_vision_range,storage_capacity,v_3_4,0.0,0.0,-2.0,False
security_camera,3,5,night_vision_range,motion_detection_range,v_3_5,-82.0,0.0,0.0,True
security_camera,4,5,storage_capacity,motion_detection_range,v_4_5,0.0,-2.0,0.0,False
shuffleboard_table,1,2,playing_surface_length,climate_adjustability,v_1_2,0.0,-8.0,32.0,False
shuffleboard_table,1,3,playing_surface_length,surface_flatness,v_1_3,0.0,-8.0,-8.0,False
shuffleboard_table,1,4,playing_surface_length,wood_hardness,v_1_4,0.0,-8.0,0.0,False
shuffleboard_table,1,5,playing_surface_length,puck_smoothness,v_1_5,0.0,-8.0,0.0,False
shuffleboard_table,2,3,climate_adjustability,surface_flatness,v_2_3,0.0,32.0,-8.0,False
shuffleboard_table,2,4,climate_adjustability,wood_hardness,v_2_4,0.0,32.0,0.0,False
shuffleboard_table,2,5,climate_adjustability,puck_smoothness,v_2_5,0.0,32.0,0.0,False
shuffleboard_table,3,4,surface_flatness,wood_hardness,v_3_4,0.0,-8.0,0.0,False
shuffleboard_table,3,5,surface_flatness,puck_smoothness,v_3_5,0.0,-8.0,0.0,False
shuffleboard_table,4,5,wood_hardness,puck_smoothness,v_4_5,79.0,0.0,0.0,True
reusable_bag,1,2,load_capacity,folded_volume,v_1_2,0.0,0.0,48.0,False
reusable_bag,1,3,load_capacity,strap_length,v_1_3,52.0,0.0,0.0,True
reusable_bag,1,4,load_capacity,washability,v_1_4,0.0,0.0,8.0,False
reusable_bag,1,5,load_capacity,water_resistance,v_1_5,0.0,0.0,-50.0,False
reusable_bag,2,3,folded_volume,strap_length,v_2_3,0.0,48.0,0.0,False
reusable_bag,2,4,folded_volume,washability,v_2_4,0.0,48.0,8.0,False
reusable_bag,2,5,folded_volume,water_resistance,v_2_5,0.0,48.0,-50.0,False
reusable_bag,3,4,strap_length,washability,v_3_4,0.0,0.0,8.0,False
reusable_bag,3,5,strap_length,water_resistance,v_3_5,0.0,0.0,-50.0,False
reusable_bag,4,5,washability,water_resistance,v_4_5,0.0,8.0,-50.0,False
luggage_tag,1,2,durability_rating,visibility_distance,v_1_2,0.0,35.0,0.0,False
luggage_tag,1,3,durability_rating,information_capacity,v_1_3,0.0,35.0,0.0,False
luggage_tag,1,4,durability_rating,water_resistance,v_1_4,0.0,35.0,-50.0,False
luggage_tag,1,5,durability_rating,attachment_strength,v_1_5,0.0,35.0,-50.0,False
luggage_tag,2,3,visibility_distance,information_capacity,v_2_3,-67.0,0.0,0.0,True
luggage_tag,2,4,visibility_distance,water_resistance,v_2_4,0.0,0.0,-50.0,False
luggage_tag,2,5,visibility_distance,attachment_strength,v_2_5,0.0,0.0,-50.0,False
luggage_tag,3,4,information_capacity,water_resistance,v_3_4,0.0,0.0,-50.0,False
luggage_tag,3,5,information_capacity,attachment_strength,v_3_5,0.0,0.0,-50.0,False
luggage_tag,4,5,water_resistance,attachment_strength,v_4_5,0.0,-50.0,-50.0,False
inversion_table,1,2,max_inversion_angle,height_capacity,v_1_2,0.0,-46.0,14.0,False
inversion_table,1,3,max_inversion_angle,ankle_cushioning_thickness,v_1_3,0.0,-46.0,0.0,False
inversion_table,1,4,max_inversion_angle,frame_thickness,v_1_4,0.0,-46.0,-50.0,False
inversion_table,1,5,max_inversion_angle,backrest_padding_thickness,v_1_5,0.0,-46.0,0.0,False
inversion_table,2,3,height_capacity,ankle_cushioning_thickness,v_2_3,0.0,14.0,0.0,False
inversion_table,2,4,height_capacity,frame_thickness,v_2_4,0.0,14.0,-50.0,False
inversion_table,2,5,height_capacity,backrest_padding_thickness,v_2_5,0.0,14.0,0.0,False
inversion_table,3,4,ankle_cushioning_thickness,frame_thickness,v_3_4,0.0,0.0,-50.0,False
inversion_table,3,5,ankle_cushioning_thickness,backrest_padding_thickness,v_3_5,-92.0,0.0,0.0,True
inversion_table,4,5,frame_thickness,backrest_padding_thickness,v_4_5,0.0,-50.0,0.0,False
shower_curtain,1,2,pattern_coverage,transparency,v_1_2,74.0,0.0,0.0,True
shower_curtain,1,3,pattern_coverage,curtain_width,v_1_3,0.0,0.0,-10.0,False
shower_curtain,1,4,pattern_coverage,curtain_height,v_1_4,0.0,0.0,-39.0,False
shower_curtain,1,5,pattern_coverage,weight,v_1_5,0.0,0.0,-6.0,False
shower_curtain,2,3,transparency,curtain_width,v_2_3,0.0,0.0,-10.0,False
shower_curtain,2,4,transparency,curtain_height,v_2_4,0.0,0.0,-39.0,False
shower_curtain,2,5,transparency,weight,v_2_5,0.0,0.0,-6.0,False
shower_curtain,3,4,curtain_width,curtain_height,v_3_4,0.0,-10.0,-39.0,False
shower_curtain,3,5,curtain_width,weight,v_3_5,0.0,-10.0,-6.0,False
shower_curtain,4,5,curtain_height,weight,v_4_5,0.0,-39.0,-6.0,False
milk_storage_bags,1,2,storage_capacity,leak_resistance_rating,v_1_2,0.0,0.0,50.0,False
milk_storage_bags,1,3,storage_capacity,freezer_life,v_1_3,0.0,0.0,-41.0,False
milk_storage_bags,1,4,storage_capacity,material_thickness,v_1_4,0.0,0.0,-42.0,False
milk_storage_bags,1,5,storage_capacity,pour_spout_width,v_1_5,51.0,0.0,0.0,True
milk_storage_bags,2,3,leak_resistance_rating,freezer_life,v_2_3,0.0,50.0,-41.0,False
milk_storage_bags,2,4,leak_resistance_rating,material_thickness,v_2_4,0.0,50.0,-42.0,False
milk_storage_bags,2,5,leak_resistance_rating,pour_spout_width,v_2_5,0.0,50.0,0.0,False
milk_storage_bags,3,4,freezer_life,material_thickness,v_3_4,0.0,-41.0,-42.0,False
milk_storage_bags,3,5,freezer_life,pour_spout_width,v_3_5,0.0,-41.0,0.0,False
milk_storage_bags,4,5,material_thickness,pour_spout_width,v_4_5,0.0,-42.0,0.0,False
nail_file,1,2,grit_level,file_length,v_1_2,0.0,-30.0,-11.0,False
nail_file,1,3,grit_level,thickness,v_1_3,0.0,-30.0,0.0,False
nail_file,1,4,grit_level,flexibility_rating,v_1_4,0.0,-30.0,50.0,False
nail_file,1,5,grit_level,durability_score,v_1_5,0.0,-30.0,0.0,False
nail_file,2,3,file_length,thickness,v_2_3,0.0,-11.0,0.0,False
nail_file,2,4,file_length,flexibility_rating,v_2_4,0.0,-11.0,50.0,False
nail_file,2,5,file_length,durability_score,v_2_5,0.0,-11.0,0.0,False
nail_file,3,4,thickness,flexibility_rating,v_3_4,0.0,0.0,50.0,False
nail_file,3,5,thickness,durability_score,v_3_5,84.0,0.0,0.0,True
nail_file,4,5,flexibility_rating,durability_score,v_4_5,0.0,50.0,0.0,False
pasta_maker,1,2,max_sheet_width,number_thickness_settings,v_1_2,0.0,35.0,50.0,False
pasta_maker,1,3,max_sheet_width,number_cutting_attachments,v_1_3,0.0,35.0,0.0,False
pasta_maker,1,4,max_sheet_width,warranty_length,v_1_4,0.0,35.0,20.0,False
pasta_maker,1,5,max_sheet_width,weight,v_1_5,0.0,35.0,0.0,False
pasta_maker,2,3,number_thickness_settings,number_cutting_attachments,v_2_3,0.0,50.0,0.0,False
pasta_maker,2,4,number_thickness_settings,warranty_length,v_2_4,0.0,50.0,20.0,False
pasta_maker,2,5,number_thickness_settings,weight,v_2_5,0.0,50.0,0.0,False
pasta_maker,3,4,number_cutting_attachments,warranty_length,v_3_4,0.0,0.0,20.0,False
pasta_maker,3,5,number_cutting_attachments,weight,v_3_5,-75.0,0.0,0.0,True
pasta_maker,4,5,warranty_length,weight,v_4_5,0.0,20.0,0.0,False
washing_machine,1,2,capacity,spin_speed,v_1_2,0.0,0.0,50.0,False
washing_machine,1,3,capacity,energy_efficiency,v_1_3,0.0,0.0,26.0,False
washing_machine,1,4,capacity,noise_level,v_1_4,-53.0,0.0,0.0,True
washing_machine,1,5,capacity,cycle_duration,v_1_5,0.0,0.0,39.0,False
washing_machine,2,3,spin_speed,energy_efficiency,v_2_3,0.0,50.0,26.0,False
washing_machine,2,4,spin_speed,noise_level,v_2_4,0.0,50.0,0.0,False
washing_machine,2,5,spin_speed,cycle_duration,v_2_5,0.0,50.0,39.0,False
washing_machine,3,4,energy_efficiency,noise_level,v_3_4,0.0,26.0,0.0,False
washing_machine,3,5,energy_efficiency,cycle_duration,v_3_5,0.0,26.0,39.0,False
washing_machine,4,5,noise_level,cycle_duration,v_4_5,0.0,0.0,39.0,False
easel,1,2,max_canvas_height,tray_capacity,v_1_2,0.0,-22.0,0.0,False
easel,1,3,max_canvas_height,height_adjustment_range,v_1_3,0.0,-22.0,-22.0,False
easel,1,4,max_canvas_height,storage_slots,v_1_4,0.0,-22.0,50.0,False
easel,1,5,max_canvas_height,tilt_angle_range,v_1_5,0.0,-22.0,0.0,False
easel,2,3,tray_capacity,height_adjustment_range,v_2_3,0.0,0.0,-22.0,False
easel,2,4,tray_capacity,storage_slots,v_2_4,0.0,0.0,50.0,False
easel,2,5,tray_capacity,tilt_angle_range,v_2_5,58.0,0.0,0.0,True
easel,3,4,height_adjustment_range,storage_slots,v_3_4,0.0,-22.0,50.0,False
easel,3,5,height_adjustment_range,tilt_angle_range,v_3_5,0.0,-22.0,0.0,False
easel,4,5,storage_slots,tilt_angle_range,v_4_5,0.0,50.0,0.0,False
salmon,1,2,color_intensity,fat_content,v_1_2,0.0,-50.0,38.0,False
salmon,1,3,color_intensity,freshness_rating,v_1_3,0.0,-50.0,-47.0,False
salmon,1,4,color_intensity,portion_size,v_1_4,0.0,-50.0,0.0,False
salmon,1,5,color_intensity,wild_caught_certainty,v_1_5,0.0,-50.0,0.0,False
salmon,2,3,fat_content,freshness_rating,v_2_3,0.0,38.0,-47.0,False
salmon,2,4,fat_content,portion_size,v_2_4,0.0,38.0,0.0,False
salmon,2,5,fat_content,wild_caught_certainty,v_2_5,0.0,38.0,0.0,False
salmon,3,4,freshness_rating,portion_size,v_3_4,0.0,-47.0,0.0,False
salmon,3,5,freshness_rating,wild_caught_certainty,v_3_5,0.0,-47.0,0.0,False
salmon,4,5,portion_size,wild_caught_certainty,v_4_5,60.0,0.0,0.0,True
magnetic_calendar,1,2,surface_area,magnetic_strength,v_1_2,0.0,0.0,40.0,False
magnetic_calendar,1,3,surface_area,writing_space_per_day,v_1_3,0.0,0.0,30.0,False
magnetic_calendar,1,4,surface_area,included_magnets,v_1_4,0.0,0.0,14.0,False
magnetic_calendar,1,5,surface_area,additional_note_space,v_1_5,56.0,0.0,0.0,True
magnetic_calendar,2,3,magnetic_strength,writing_space_per_day,v_2_3,0.0,40.0,30.0,False
magnetic_calendar,2,4,magnetic_strength,included_magnets,v_2_4,0.0,40.0,14.0,False
magnetic_calendar,2,5,magnetic_strength,additional_note_space,v_2_5,0.0,40.0,0.0,False
magnetic_calendar,3,4,writing_space_per_day,included_magnets,v_3_4,0.0,30.0,14.0,False
magnetic_calendar,3,5,writing_space_per_day,additional_note_space,v_3_5,0.0,30.0,0.0,False
magnetic_calendar,4,5,included_magnets,additional_note_space,v_4_5,0.0,14.0,0.0,False
ham,1,2,curing_time,smoke_intensity,v_1_2,0.0,-37.0,0.0,False
ham,1,3,curing_time,salt_content,v_1_3,0.0,-37.0,-8.0,False
ham,1,4,curing_time,moisture_content,v_1_4,0.0,-37.0,-38.0,False
ham,1,5,curing_time,protein_content,v_1_5,0.0,-37.0,0.0,False
ham,2,3,smoke_intensity,salt_content,v_2_3,0.0,0.0,-8.0,False
ham,2,4,smoke_intensity,moisture_content,v_2_4,0.0,0.0,-38.0,False
ham,2,5,smoke_intensity,protein_content,v_2_5,82.0,0.0,0.0,True
ham,3,4,salt_content,moisture_content,v_3_4,0.0,-8.0,-38.0,False
ham,3,5,salt_content,protein_content,v_3_5,0.0,-8.0,0.0,False
ham,4,5,moisture_content,protein_content,v_4_5,0.0,-38.0,0.0,False
snow_blower,1,2,clearing_width,throwing_distance,v_1_2,0.0,0.0,-18.0,False
snow_blower,1,3,clearing_width,intake_height,v_1_3,0.0,0.0,38.0,False
snow_blower,1,4,clearing_width,runtime,v_1_4,0.0,0.0,42.0,False
snow_blower,1,5,clearing_width,noise_level,v_1_5,86.0,0.0,0.0,True
snow_blower,2,3,throwing_distance,intake_height,v_2_3,0.0,-18.0,38.0,False
snow_blower,2,4,throwing_distance,runtime,v_2_4,0.0,-18.0,42.0,False
snow_blower,2,5,throwing_distance,noise_level,v_2_5,0.0,-18.0,0.0,False
snow_blower,3,4,intake_height,runtime,v_3_4,0.0,38.0,42.0,False
snow_blower,3,5,intake_height,noise_level,v_3_5,0.0,38.0,0.0,False
snow_blower,4,5,runtime,noise_level,v_4_5,0.0,42.0,0.0,False
ecg_monitor,1,2,battery_life,recording_duration,v_1_2,0.0,42.0,-24.0,False
ecg_monitor,1,3,battery_life,data_transfer_speed,v_1_3,0.0,42.0,0.0,False
ecg_monitor,1,4,battery_life,display_resolution,v_1_4,0.0,42.0,26.0,False
ecg_monitor,1,5,battery_life,storage_capacity,v_1_5,0.0,42.0,0.0,False
ecg_monitor,2,3,recording_duration,data_transfer_speed,v_2_3,0.0,-24.0,0.0,False
ecg_monitor,2,4,recording_duration,display_resolution,v_2_4,0.0,-24.0,26.0,False
ecg_monitor,2,5,recording_duration,storage_capacity,v_2_5,0.0,-24.0,0.0,False
ecg_monitor,3,4,data_transfer_speed,display_resolution,v_3_4,0.0,0.0,26.0,False
ecg_monitor,3,5,data_transfer_speed,storage_capacity,v_3_5,93.0,0.0,0.0,True
ecg_monitor,4,5,display_resolution,storage_capacity,v_4_5,0.0,26.0,0.0,False
dslr_camera,1,2,sensor_resolution,continuous_shooting_speed,v_1_2,0.0,0.0,29.0,False
dslr_camera,1,3,sensor_resolution,battery_life,v_1_3,0.0,0.0,4.0,False
dslr_camera,1,4,sensor_resolution,max_iso,v_1_4,-60.0,0.0,0.0,True
dslr_camera,1,5,sensor_resolution,weight,v_1_5,0.0,0.0,-50.0,False
dslr_camera,2,3,continuous_shooting_speed,battery_life,v_2_3,0.0,29.0,4.0,False
dslr_camera,2,4,continuous_shooting_speed,max_iso,v_2_4,0.0,29.0,0.0,False
dslr_camera,2,5,continuous_shooting_speed,weight,v_2_5,0.0,29.0,-50.0,False
dslr_camera,3,4,battery_life,max_iso,v_3_4,0.0,4.0,0.0,False
dslr_camera,3,5,battery_life,weight,v_3_5,0.0,4.0,-50.0,False
dslr_camera,4,5,max_iso,weight,v_4_5,0.0,0.0,-50.0,False
convertible,1,2,top_operation_time,acceleration,v_1_2,0.0,50.0,0.0,False
convertible,1,3,top_operation_time,trunk_space_top_down,v_1_3,0.0,50.0,32.0,False
convertible,1,4,top_operation_time,wind_noise,v_1_4,0.0,50.0,0.0,False
convertible,1,5,top_operation_time,rollover_protection,v_1_5,0.0,50.0,42.0,False
convertible,2,3,acceleration,trunk_space_top_down,v_2_3,0.0,0.0,32.0,False
convertible,2,4,acceleration,wind_noise,v_2_4,71.0,0.0,0.0,True
convertible,2,5,acceleration,rollover_protection,v_2_5,0.0,0.0,42.0,False
convertible,3,4,trunk_space_top_down,wind_noise,v_3_4,0.0,32.0,0.0,False
convertible,3,5,trunk_space_top_down,rollover_protection,v_3_5,0.0,32.0,42.0,False
convertible,4,5,wind_noise,rollover_protection,v_4_5,0.0,0.0,42.0,False
washi_tape,1,2,tape_width,adhesive_strength,v_1_2,0.0,-44.0,-30.0,False
washi_tape,1,3,tape_width,roll_length,v_1_3,0.0,-44.0,0.0,False
washi_tape,1,4,tape_width,pattern_repeat_length,v_1_4,0.0,-44.0,0.0,False
washi_tape,1,5,tape_width,opacity_percentage,v_1_5,0.0,-44.0,24.0,False
washi_tape,2,3,adhesive_strength,roll_length,v_2_3,0.0,-30.0,0.0,False
