scenario,attr1,attr2,attr3,attr4,attr5,v_1_2,v_1_3,v_1_4,v_1_5,v_2_3,v_2_4,v_2_5,v_3_4,v_3_5,v_4_5
sponges,-10,22,0,-50,0,0,0,0,0,0,0,0,0,57,0
popcorn,18,-24,0,6,0,0,0,0,0,0,0,0,0,87,0
recliner,-50,0,0,35,-30,0,0,0,0,-84,0,0,0,0,0
arrows,0,-28,38,0,-8,0,0,81,0,0,0,0,0,0,0
pattern_weights,0,-50,0,50,-39,0,-57,0,0,0,0,0,0,0,0
wheelbarrow,0,-50,-21,0,23,0,0,-82,0,0,0,0,0,0,0
soil,-20,0,-10,0,42,0,0,0,0,0,-57,0,0,0,0
sleeping_bag,-10,-9,-34,0,0,0,0,0,0,0,0,0,0,0,57
paper_towel,15,-12,-30,0,0,0,0,0,0,0,0,0,0,0,-79
outdoor_tv_cover,0,2,45,0,50,0,0,89,0,0,0,0,0,0,0
tamper,28,0,4,30,0,0,0,0,0,0,0,89,0,0,0
garment_steamer,0,30,50,32,0,0,0,0,90,0,0,0,0,0,0
alcohol_markers,-50,0,0,29,-10,0,0,0,0,-99,0,0,0,0,0
rabbit,-44,0,-50,42,0,0,0,0,0,0,0,59,0,0,0
bracelet,0,-36,0,2,-34,0,54,0,0,0,0,0,0,0,0
adapter,0,16,0,0,46,0,90,0,0,0,0,0,0,0,0
night_light,24,0,0,-38,50,0,0,0,0,-54,0,0,0,0,0
travel_wallet,0,0,20,-4,7,-69,0,0,0,0,0,0,0,0,0
central_vacuum,0,34,50,-36,0,0,0,0,85,0,0,0,0,0,0
microwave_cover,-21,0,0,23,45,0,0,0,0,-92,0,0,0,0,0
porch_swing,0,42,13,-20,0,0,0,0,62,0,0,0,0,0,0
stability_ball,0,27,44,0,10,0,0,79,0,0,0,0,0,0,0
ink_cartridge,4,0,-50,30,0,0,0,0,0,0,0,-57,0,0,0
wood_glue,28,28,0,0,-13,0,0,0,0,0,0,0,-61,0,0
sleep_sack,-48,32,0,0,19,0,0,0,0,0,0,0,71,0,0
mixer,0,-34,18,-50,0,0,0,0,78,0,0,0,0,0,0
dominoes,-18,-50,-40,0,0,0,0,0,0,0,0,0,0,0,63
crochet_hook,0,-31,0,-50,-37,0,-50,0,0,0,0,0,0,0,0
sawhorse,0,50,-25,-16,0,0,0,0,60,0,0,0,0,0,0
stockings,0,26,-36,0,-50,0,0,-86,0,0,0,0,0,0,0
fabric_markers,0,0,-4,42,50,-83,0,0,0,0,0,0,0,0,0
cherry_pitter,0,0,-25,-42,-44,90,0,0,0,0,0,0,0,0,0
amusement_park,-50,0,43,0,-7,0,0,0,0,0,66,0,0,0,0
snow_brush,16,0,-50,0,10,0,0,0,0,0,88,0,0,0,0
safety_pins,21,14,0,43,0,0,0,0,0,0,0,0,0,-95,0
sewing_machine,0,-10,0,28,32,0,61,0,0,0,0,0,0,0,0
pressure_cooker,0,0,44,37,37,-82,0,0,0,0,0,0,0,0,0
necklace_stand,-3,-14,0,0,3,0,0,0,0,0,0,0,-75,0,0
soccer_ball,33,0,0,30,-29,0,0,0,0,55,0,0,0,0,0
cake_pan,-22,0,0,-27,26,0,0,0,0,57,0,0,0,0,0
pin_cushion,50,0,-10,0,8,0,0,0,0,0,82,0,0,0,0
sugar_bowl,31,50,0,0,16,0,0,0,0,0,0,0,-68,0,0
microwave,0,-50,-18,0,-15,0,0,-52,0,0,0,0,0,0,0
water_heater,-34,0,0,-14,-30,0,0,0,0,97,0,0,0,0,0
wallpaper,30,0,3,0,50,0,0,0,0,0,86,0,0,0,0
flip_flops,-45,0,-2,43,0,0,0,0,0,0,0,-87,0,0,0
paint,0,-37,2,8,0,0,0,0,73,0,0,0,0,0,0
chair,50,0,-13,0,10,0,0,0,0,0,-51,0,0,0,0
grill_brush,-43,0,8,50,0,0,0,0,0,0,0,-56,0,0,0
disc_drive,50,19,22,0,0,0,0,0,0,0,0,0,0,0,-54
high_chair,44,-42,50,0,0,0,0,0,0,0,0,0,0,0,81
game_mat,0,-28,50,12,0,0,0,0,78,0,0,0,0,0,0
museum,20,0,0,34,26,0,0,0,0,62,0,0,0,0,0
tennis_racquet,-50,4,-12,0,0,0,0,0,0,0,0,0,0,0,52
terrarium,0,0,-50,46,20,-69,0,0,0,0,0,0,0,0,0
hammock_stand,2,50,0,28,0,0,0,0,0,0,0,0,0,83,0
electric_kettle,-10,50,48,0,0,0,0,0,0,0,0,0,0,0,78
steam_mop,0,0,9,0,50,0,0,90,0,0,0,0,0,0,0
faucet,-50,0,0,-48,-8,0,0,0,0,-55,0,0,0,0,0
gold_necklace,50,0,-14,0,35,0,0,0,0,0,99,0,0,0,0
bocce_set,0,0,-50,-19,-11,-66,0,0,0,0,0,0,0,0,0
panini_press,-14,-42,0,50,0,0,0,0,0,0,0,0,0,97,0
rolling_pin,-10,-28,0,0,-34,0,0,0,0,0,0,0,95,0,0
cpu_cooler,0,-50,0,-40,26,0,59,0,0,0,0,0,0,0,0
model_scenery,0,50,0,24,37,0,89,0,0,0,0,0,0,0,0
soda_siphon,0,-50,0,-8,-50,0,92,0,0,0,0,0,0,0,0
loveseat,0,0,18,-32,31,-93,0,0,0,0,0,0,0,0,0
egg_carton,19,48,0,0,24,0,0,0,0,0,0,0,57,0,0
receiving_blanket,0,-3,-50,0,29,0,0,76,0,0,0,0,0,0,0
candlestick_holder,28,50,0,42,0,0,0,0,0,0,0,0,0,-100,0
radon_test,26,0,-2,0,50,0,0,0,0,0,53,0,0,0,0
wheelchair,6,0,0,50,-40,0,0,0,0,95,0,0,0,0,0
pizza_cutter,0,0,-34,-13,18,-76,0,0,0,0,0,0,0,0,0
leather_dye,-50,-4,-42,0,0,0,0,0,0,0,0,0,0,0,65
voip_phone,-22,14,0,50,0,0,0,0,0,0,0,0,0,-53,0
displayport_cable,0,3,-38,26,0,0,0,0,89,0,0,0,0,0,0
stool,0,-23,0,-48,-32,0,-86,0,0,0,0,0,0,0,0
croquet_set,-42,0,0,0,21,0,0,0,0,70,0,0,0,0,0
water_purifier,0,-48,-20,12,0,0,0,0,93,0,0,0,0,0,0
bias_tape_maker,0,50,0,30,-16,0,72,0,0,0,0,0,0,0,0
embroidery_floss,0,-27,0,20,-50,0,-96,0,0,0,0,0,0,0,0
sweater,0,-20,0,3,-14,0,-75,0,0,0,0,0,0,0,0
sculpture,0,0,24,-50,-21,57,0,0,0,0,0,0,0,0,0
air_freshener,-22,0,0,50,16,0,0,0,0,55,0,0,0,0,0
loafers,50,0,8,18,0,0,0,0,0,0,0,64,0,0,0
reading_magnifier,0,6,-50,1,0,0,0,0,67,0,0,0,0,0,0
beads,9,0,-46,6,0,0,0,0,0,0,0,-97,0,0,0
fax_machine,-18,22,0,6,0,0,0,0,0,0,0,0,0,-89,0
blanket,0,22,-42,50,0,0,0,0,99,0,0,0,0,0,0
sheets,-21,50,0,0,-15,0,0,0,0,0,0,0,57,0,0
hammock,0,0,-22,20,14,-91,0,0,0,0,0,0,0,0,0
card_sleeves,-39,0,47,-42,0,0,0,0,0,0,0,67,0,0,0
diamond_earrings,0,0,12,-50,-4,-52,0,0,0,0,0,0,0,0,0
clay,50,13,4,0,0,0,0,0,0,0,0,0,0,0,80
roasting_pan,50,0,48,0,10,0,0,0,0,0,-57,0,0,0,0
keyboard,0,0,-22,46,-18,76,0,0,0,0,0,0,0,0,0
hair_extensions,-20,-32,50,0,0,0,0,0,0,0,0,0,0,0,-53
envelope,-20,0,2,0,16,0,0,0,0,0,-87,0,0,0,0
laptop_sleeve,0,42,-12,35,0,0,0,0,-65,0,0,0,0,0,0
3d_printer,-18,50,0,0,-4,0,0,0,0,0,0,0,81,0,0
egg_separator,0,18,0,-8,-12,0,67,0,0,0,0,0,0,0,0
cereal,0,-37,0,-42,-50,0,-79,0,0,0,0,0,0,0,0
wind_turbine,38,24,0,-30,0,0,0,0,0,0,0,0,0,-66,0
ereader,-50,-10,0,24,0,0,0,0,0,0,0,0,0,50,0
water,0,-36,-12,-50,0,0,0,0,-99,0,0,0,0,0,0
plastic_wrap,0,6,-36,-13,0,0,0,0,65,0,0,0,0,0,0
frying_pan,34,50,0,23,0,0,0,0,0,0,0,0,0,-65,0
mod_podge,0,-4,0,-50,-46,0,52,0,0,0,0,0,0,0,0
smart_lock,49,0,0,46,-20,0,0,0,0,60,0,0,0,0,0
briefs,10,50,0,0,4,0,0,0,0,0,0,0,85,0,0
skincare_device,-50,0,-16,0,48,0,0,0,0,0,-66,0,0,0,0
coloring_book,10,0,40,0,34,0,0,0,0,0,-66,0,0,0,0
treadmill,0,-22,-32,0,-50,0,0,64,0,0,0,0,0,0,0
cabinet,0,50,6,-50,0,0,0,0,-85,0,0,0,0,0,0
lug_wrench,0,0,-48,50,-40,-97,0,0,0,0,0,0,0,0,0
mechanical_keyboard,-13,-12,0,14,0,0,0,0,0,0,0,0,0,-65,0
coffee_mug,0,-50,-42,0,-14,0,0,-69,0,0,0,0,0,0,0
badge_maker,0,-18,4,-50,0,0,0,0,51,0,0,0,0,0,0
suitcase,-34,0,0,18,41,0,0,0,0,-53,0,0,0,0,0
mobile,0,-20,0,50,14,0,-77,0,0,0,0,0,0,0,0
dish_towel,0,-34,-38,1,0,0,0,0,92,0,0,0,0,0,0
pizza_peel,0,-37,0,-24,-50,0,-98,0,0,0,0,0,0,0,0
mittens,0,18,5,0,-50,0,0,-76,0,0,0,0,0,0,0
ice_tray,0,28,-8,0,-43,0,0,-85,0,0,0,0,0,0,0
aeropress,-50,0,-1,0,24,0,0,0,0,0,-56,0,0,0,0
milk,0,29,41,0,-37,0,0,-82,0,0,0,0,0,0,0
laser_cutter,0,-26,0,30,16,0,53,0,0,0,0,0,0,0,0
account,-5,0,0,-44,50,0,0,0,0,52,0,0,0,0,0
minor,10,0,42,8,0,0,0,0,0,0,0,75,0,0,0
batteries,-25,-16,0,0,48,0,0,0,0,0,0,0,-77,0,0
cradle,-33,0,0,16,10,0,0,0,0,-88,0,0,0,0,0
cabin,29,28,-8,0,0,0,0,0,0,0,0,0,0,0,-52
all_in_one_printer,8,-50,0,-17,0,0,0,0,0,0,0,0,0,-90,0
card_game,-15,0,46,0,4,0,0,0,0,0,-60,0,0,0,0
cardigan,50,0,-43,10,0,0,0,0,0,0,0,82,0,0,0
ear_drops,0,-29,0,-50,-28,0,-100,0,0,0,0,0,0,0,0
epsom_salt,0,50,0,8,12,0,-67,0,0,0,0,0,0,0,0
pizza,0,-50,0,19,-36,0,96,0,0,0,0,0,0,0,0
landscape_lighting,-2,25,0,39,0,0,0,0,0,0,0,0,0,-85,0
litter_box,-22,0,42,0,-7,0,0,0,0,0,-51,0,0,0,0
medical_alert_bracelet,50,-8,0,6,0,0,0,0,0,0,0,0,0,61,0
chandelier,0,-32,0,-39,9,0,79,0,0,0,0,0,0,0,0
serving_tray,-32,0,50,0,50,0,0,0,0,0,-90,0,0,0,0
sunshade,0,0,-48,-25,6,-98,0,0,0,0,0,0,0,0,0
heated_jacket,44,2,0,0,-34,0,0,0,0,0,0,0,65,0,0
scuba_tank,0,-21,-18,0,-50,0,0,-93,0,0,0,0,0,0,0
chopsticks,14,50,0,0,-15,0,0,0,0,0,0,0,-56,0,0
whipped_cream_dispenser,23,12,18,0,0,0,0,0,0,0,0,0,0,0,71
dip,-47,-9,22,0,0,0,0,0,0,0,0,0,0,0,88
watercolor_paper,26,0,0,-7,-4,0,0,0,0,86,0,0,0,0,0
rv,0,0,4,-25,-50,79,0,0,0,0,0,0,0,0,0
lightning_cable,0,-32,-6,0,50,0,0,77,0,0,0,0,0,0,0
flyer,-50,-44,0,46,0,0,0,0,0,0,0,0,0,-69,0
condo,0,0,-26,50,43,-95,0,0,0,0,0,0,0,0,0
jigsaw_puzzle,-43,0,0,15,-38,0,0,0,0,88,0,0,0,0,0
facial_hair_remover,-17,-50,0,20,0,0,0,0,0,0,0,0,0,69,0
parchment_paper,0,-11,0,-6,50,0,-76,0,0,0,0,0,0,0,0
bear_bag,50,0,14,15,0,0,0,0,0,0,0,63,0,0,0
emergency_food,28,0,0,50,-32,0,0,0,0,81,0,0,0,0,0
swim_cap,-34,-36,0,-6,0,0,0,0,0,0,0,0,0,70,0
stretcher_bars,50,0,16,36,0,0,0,0,0,0,0,-69,0,0,0
knife,33,0,0,-36,14,0,0,0,0,73,0,0,0,0,0
smoothie,32,0,0,2,-38,0,0,0,0,-54,0,0,0,0,0
sneakers,0,0,-8,22,-50,-52,0,0,0,0,0,0,0,0,0
gps,0,-17,-49,-50,0,0,0,0,68,0,0,0,0,0,0
egg_slicer,0,0,50,-41,-14,-85,0,0,0,0,0,0,0,0,0
camping_stove,22,-50,0,-41,0,0,0,0,0,0,0,0,0,-98,0
blender,-36,0,-22,0,-50,0,0,0,0,0,-54,0,0,0,0
heated_blanket,36,-38,-50,0,0,0,0,0,0,0,0,0,0,0,-78
speakers,0,-30,0,-50,-50,0,-100,0,0,0,0,0,0,0,0
mask,0,-45,-34,-40,0,0,0,0,-96,0,0,0,0,0,0
vacuum,-33,-41,-20,0,0,0,0,0,0,0,0,0,0,0,93
rotary_cutter,0,-10,-34,0,50,0,0,-65,0,0,0,0,0,0,0
grill_cover,-50,0,45,0,49,0,0,0,0,0,76,0,0,0,0
wetsuit,0,-16,-11,0,-50,0,0,60,0,0,0,0,0,0,0
air_hockey_table,0,-50,6,0,-44,0,0,-60,0,0,0,0,0,0,0
action_figures,-50,14,0,0,-39,0,0,0,0,0,0,0,54,0,0
projector_screen,-8,0,46,0,42,0,0,0,0,0,-93,0,0,0,0
cold_brew_maker,-32,0,50,0,-32,0,0,0,0,0,82,0,0,0,0
facial_toner,50,0,40,0,36,0,0,0,0,0,91,0,0,0,0
kitchen_timer,0,48,-50,-24,0,0,0,0,-65,0,0,0,0,0,0
pedometer,0,-29,10,-38,0,0,0,0,94,0,0,0,0,0,0
ice_scraper,7,0,0,-29,0,0,0,0,0,-60,0,0,0,0,0
silicone_mat,-34,-24,0,50,0,0,0,0,0,0,0,0,0,78,0
bikini,0,-8,0,-50,-23,0,63,0,0,0,0,0,0,0,0
credit_card,0,-38,28,0,-2,0,0,-100,0,0,0,0,0,0,0
dna_test_kit,0,14,22,44,0,0,0,0,60,0,0,0,0,0,0
down_jacket,8,0,18,0,-50,0,0,0,0,0,85,0,0,0,0
dryer,0,-48,0,6,-40,0,92,0,0,0,0,0,0,0,0
waterproof_socks,24,7,50,0,0,0,0,0,0,0,0,0,0,0,-80
cordless_phone,-16,0,-24,0,15,0,0,0,0,0,-61,0,0,0,0
shaving_cream,50,-34,0,0,45,0,0,0,0,0,0,0,50,0,0
car_jack,0,15,-50,-8,0,0,0,0,72,0,0,0,0,0,0
stylus,0,41,-1,0,-46,0,0,59,0,0,0,0,0,0,0
yoga_mat,-20,0,3,9,0,0,0,0,0,0,0,59,0,0,0
wedges,0,50,0,24,-27,0,-83,0,0,0,0,0,0,0,0
tampon,1,8,24,0,0,0,0,0,0,0,0,0,0,0,75
hamster,-50,6,6,0,0,0,0,0,0,0,0,0,0,0,53
slippers,50,-20,0,-38,0,0,0,0,0,0,0,0,0,55,0
flashlight_app,0,0,-36,-42,50,86,0,0,0,0,0,0,0,0,0
turkish_pot,-26,50,11,0,0,0,0,0,0,0,0,0,0,0,-78
visor,16,0,0,50,-38,0,0,0,0,-60,0,0,0,0,0
skillet,-20,-39,0,14,0,0,0,0,0,0,0,0,0,79,0
garlic_press,-4,6,-36,0,0,0,0,0,0,0,0,0,0,0,-68
spice_jars,28,29,0,-26,0,0,0,0,0,0,0,0,0,-89,0
bagel,0,-6,0,-18,-38,0,-56,0,0,0,0,0,0,0,0
messenger_bag,6,-50,-14,0,0,0,0,0,0,0,0,0,0,0,-87
reusable_filter,0,50,-6,0,44,0,0,61,0,0,0,0,0,0,0
baby_gate,40,-50,0,18,0,0,0,0,0,0,0,0,0,-78,0
lunch,39,-6,0,0,-50,0,0,0,0,0,0,0,76,0,0
pathway_lights,-5,1,-50,0,0,0,0,0,0,0,0,0,0,0,82
blood_pressure_monitor,0,-38,50,12,0,0,0,0,91,0,0,0,0,0,0
gesso,42,0,-44,0,-39,0,0,0,0,0,67,0,0,0,0
file_cabinet,-24,-26,50,0,0,0,0,0,0,0,0,0,0,0,70
car,0,-26,0,-40,-44,0,-84,0,0,0,0,0,0,0,0
sewing_scissors,-18,0,0,0,44,0,0,0,0,0,85,0,0,0,0
pad,0,-18,-8,-50,0,0,0,0,-65,0,0,0,0,0,0
lifebuoy,4,40,48,0,0,0,0,0,0,0,0,0,0,0,-71
wireless_mouse,-8,0,-15,10,0,0,0,0,0,0,0,-100,0,0,0
video_game,40,0,41,-19,0,0,0,0,0,0,0,-50,0,0,0
windbreaker,0,44,50,12,0,0,0,0,-54,0,0,0,0,0,0
chips,0,0,-36,46,-50,55,0,0,0,0,0,0,0,0,0
solar_garden_lights,0,50,-43,0,35,0,0,59,0,0,0,0,0,0,0
rc_boat,-14,0,0,50,2,0,0,0,0,-62,0,0,0,0,0
hostel,-36,50,-36,0,0,0,0,0,0,0,0,0,0,0,-77
dice_tower,0,-22,40,0,-25,0,0,-72,0,0,0,0,0,0,0
toothpaste,0,-30,0,10,-50,0,-84,0,0,0,0,0,0,0,0
hepa_filter,-3,0,-30,0,-22,0,0,0,0,0,-74,0,0,0,0
quilting_needles,0,0,50,28,-38,52,0,0,0,0,0,0,0,0,0
usb_flash_drive,0,2,0,-46,36,0,71,0,0,0,0,0,0,0,0
stationary_bike,-40,0,0,2,16,0,0,0,0,-77,0,0,0,0,0
external_hard_drive,-26,-30,0,-18,0,0,0,0,0,0,0,0,0,-62,0
portable_purifier,-46,-28,-50,0,0,0,0,0,0,0,0,0,0,0,86
turkey,-44,0,0,3,-50,0,0,0,0,58,0,0,0,0,0
inverter,44,24,20,0,0,0,0,0,0,0,0,0,0,0,-82
painting,0,50,6,22,0,0,0,0,-77,0,0,0,0,0,0
clipper,0,0,-14,-37,-50,54,0,0,0,0,0,0,0,0,0
magnetic_charging_cable,26,50,0,-42,0,0,0,0,0,0,0,0,0,-58,0
hiking_boots,4,0,50,16,0,0,0,0,0,0,0,-83,0,0,0
mouth_guard,-16,44,-24,0,0,0,0,0,0,0,0,0,0,0,56
goggles,0,-48,0,-48,19,0,-82,0,0,0,0,0,0,0,0
nose_clip,-8,0,-44,-2,0,0,0,0,0,0,0,75,0,0,0
matcha_powder,0,18,-50,44,0,0,0,0,70,0,0,0,0,0,0
cup,30,50,0,0,2,0,0,0,0,0,0,0,68,0,0
emergency_radio,14,0,2,25,0,0,0,0,0,0,0,80,0,0,0
contacts,0,-28,0,50,0,0,66,0,0,0,0,0,0,0,0
reflective_triangle,36,-20,0,39,0,0,0,0,0,0,0,0,0,-79,0
wakeboard,0,-6,28,0,5,0,0,-84,0,0,0,0,0,0,0
splatter_screen,-48,0,0,46,-35,0,0,0,0,-86,0,0,0,0,0
fog_light,-12,-50,-22,0,0,0,0,0,0,0,0,0,0,0,55
umbrella,0,0,14,28,-50,-52,0,0,0,0,0,0,0,0,0
camera,0,4,33,-39,0,0,0,0,-55,0,0,0,0,0,0
wine_glass,0,0,0,-8,14,0,0,0,0,-54,0,0,0,0,0
thermal_socks,37,0,0,-50,12,0,0,0,0,77,0,0,0,0,0
chalkboard,-7,0,-34,28,0,0,0,0,0,0,0,72,0,0,0
disposable_cups,0,0,-40,-36,-31,54,0,0,0,0,0,0,0,0,0
cotton_swabs,50,-24,0,-33,0,0,0,0,0,0,0,0,0,56,0
ice_cream_maker,-2,0,0,13,-3,0,0,0,0,63,0,0,0,0,0
garden_swing,32,20,0,0,29,0,0,0,0,0,0,0,-58,0,0
gym_bag,0,-1,-50,-26,0,0,0,0,56,0,0,0,0,0,0
robot_vacuum,-32,-1,-50,0,0,0,0,0,0,0,0,0,0,0,75
tshirt,0,-9,28,0,50,0,0,58,0,0,0,0,0,0,0
bench,-50,-12,0,0,11,0,0,0,0,0,0,0,66,0,0
hand_crank_light,1,30,0,50,0,0,0,0,0,0,0,0,0,93,0
sewing_pins,42,-50,0,0,28,0,0,0,0,0,0,0,98,0,0
usb_splitter,-49,-44,0,0,-14,0,0,0,0,0,0,0,-99,0,0
eye_mask,0,0,-1,36,-28,53,0,0,0,0,0,0,0,0,0
motion_sensor_light,-10,-50,21,0,0,0,0,0,0,0,0,0,0,0,-72
album,0,-50,0,10,-17,0,89,0,0,0,0,0,0,0,0
outdoor_ping_pong,-18,-22,0,50,0,0,0,0,0,0,0,0,0,-70,0
batting,10,0,0,20,-20,0,0,0,0,95,0,0,0,0,0
bronzer,0,-50,-2,0,29,0,0,-60,0,0,0,0,0,0,0
rc_car,-44,-11,-39,0,0,0,0,0,0,0,0,0,0,0,-70
jewelry_cleaner,0,30,0,-8,-14,0,99,0,0,0,0,0,0,0,0
security_floodlight,0,24,0,50,-9,0,-54,0,0,0,0,0,0,0,0
squat_rack,42,-50,-5,0,0,0,0,0,0,0,0,0,0,0,-79
soap,-7,0,0,-20,2,0,0,0,0,66,0,0,0,0,0
vest,46,-26,0,0,14,0,0,0,0,0,0,0,-63,0,0
bean_bag,0,-6,-23,-30,0,0,0,0,-62,0,0,0,0,0,0
solar_shower,14,-38,0,0,50,0,0,0,0,0,0,0,-85,0,0
paternity_test,0,-2,34,0,-50,0,0,-51,0,0,0,0,0,0,0
watch_case,50,0,10,2,0,0,0,0,0,0,0,-84,0,0,0
silver_necklace,-30,-32,0,50,0,0,0,0,0,0,0,0,0,67,0
engagement_ring,-50,32,0,-44,0,0,0,0,0,0,0,0,0,-83,0
toe_warmers,-50,-20,-32,0,0,0,0,0,0,0,0,0,0,0,82
glucose_meter,44,0,22,-42,0,0,0,0,0,0,0,87,0,0,0
kayak,0,0,22,50,45,62,0,0,0,0,0,0,0,0,0
garden_hose,0,31,50,0,-38,0,0,-92,0,0,0,0,0,0,0
rollerblades,0,0,-50,31,35,80,0,0,0,0,0,0,0,0,0
smoke_detector,0,48,0,-4,18,0,64,0,0,0,0,0,0,0,0
processor,-50,-18,-3,0,0,0,0,0,0,0,0,0,0,0,-78
headband,-40,-16,-19,0,0,0,0,0,0,0,0,0,0,0,-61
corn_stripper,22,12,36,0,0,0,0,0,0,0,0,0,0,0,53
ski_boots,0,-4,-41,16,0,0,0,0,72,0,0,0,0,0,0
storage_bags,2,50,23,0,0,0,0,0,0,0,0,0,0,0,58
clipboard,14,0,-36,-11,0,0,0,0,0,0,0,-82,0,0,0
hairspray,0,-22,-50,0,13,0,0,-68,0,0,0,0,0,0,0
resort,36,-50,0,0,42,0,0,0,0,0,0,0,92,0,0
pastry_brush,0,0,7,7,50,-51,0,0,0,0,0,0,0,0,0
measuring_cups,-34,0,-50,0,34,0,0,0,0,0,-79,0,0,0,0
first_aid_kit,0,0,50,-16,37,-78,0,0,0,0,0,0,0,0,0
walker,0,-11,50,0,-10,0,0,50,0,0,0,0,0,0,0
window_covering,-5,0,0,-50,-8,0,0,0,0,62,0,0,0,0,0
paint_brush,50,0,0,-13,2,0,0,0,0,71,0,0,0,0,0
