scenario,position,attribute,units,weight,cut_column,cut_percent,cut_value,range_min,range_max,active
inversion_table,2,height_capacity,inches,-100.0,cut2,0.0,48.0,48.0,78.0,False
inversion_table,3,ankle_cushioning_thickness,inches,-57.0,cut3,0.0,0.5,0.5,3.0,False
inversion_table,4,frame_thickness,inches,-68.0,cut4,0.0,1.0,1.0,3.0,False
inversion_table,5,backrest_padding_thickness,inches,18.0,cut5,0.0,1.0,1.0,4.0,False
shower_curtain,1,pattern_coverage,percent of surface area,0.0,cut1,31.0,31.0,0.0,100.0,True
shower_curtain,2,transparency,percent light transmission,93.0,cut2,0.0,0.0,0.0,60.0,False
shower_curtain,3,curtain_width,inches,-72.0,cut3,0.0,70.0,70.0,108.0,False
shower_curtain,4,curtain_height,inches,100.0,cut4,0.0,70.0,70.0,96.0,False
shower_curtain,5,weight,ounces,51.0,cut5,0.0,8.0,8.0,24.0,False
milk_storage_bags,1,storage_capacity,ounces,-16.0,cut1,0.0,4.0,4.0,8.0,False
milk_storage_bags,2,leak_resistance_rating,rating out of 10,0.0,cut2,52.0,6.0,1.0,10.0,True
milk_storage_bags,3,freezer_life,months,-74.0,cut3,0.0,3.0,3.0,12.0,False
milk_storage_bags,4,material_thickness,millimeters,-78.0,cut4,0.0,0.1,0.1,0.5,False
milk_storage_bags,5,pour_spout_width,millimeters,100.0,cut5,0.0,10.0,10.0,30.0,False
nail_file,1,grit_level,grit number,-46.0,cut1,0.0,80.0,80.0,1000.0,False
nail_file,2,file_length,centimeters,-74.0,cut2,0.0,10.0,10.0,25.0,False
nail_file,3,thickness,millimeters,0.0,cut3,59.0,2.0,0.5,3.0,True
nail_file,4,flexibility_rating,bend degrees without breaking,100.0,cut4,0.0,5.0,5.0,45.0,False
nail_file,5,durability_score,uses before replacement,35.0,cut5,0.0,100.0,100.0,1000.0,False
pasta_maker,1,max_sheet_width,inches,53.0,cut1,0.0,4.0,4.0,10.0,False
pasta_maker,2,number_thickness_settings,settings,0.0,cut2,46.0,9.0,6.0,12.0,True
pasta_maker,3,number_cutting_attachments,attachments,-100.0,cut3,0.0,2.0,2.0,8.0,False
pasta_maker,4,warranty_length,years,-49.0,cut4,0.0,1.0,1.0,10.0,False
pasta_maker,5,weight,pounds,-41.0,cut5,0.0,2.0,2.0,15.0,False
washing_machine,1,capacity,cubic feet,0.0,cut1,44.0,4.3,3.0,6.0,True
washing_machine,2,spin_speed,rpm,100.0,cut2,0.0,800.0,800.0,1600.0,False
washing_machine,3,energy_efficiency,kwh per year,3.0,cut3,0.0,100.0,100.0,300.0,False
washing_machine,4,noise_level,decibels,-73.0,cut4,0.0,40.0,40.0,80.0,False
washing_machine,5,cycle_duration,minutes,26.0,cut5,0.0,30.0,30.0,120.0,False
easel,1,max_canvas_height,inches,-100.0,cut1,0.0,24.0,24.0,96.0,False
easel,2,tray_capacity,pounds,-73.0,cut2,0.0,5.0,5.0,25.0,False
easel,3,height_adjustment_range,inches,45.0,cut3,0.0,20.0,20.0,72.0,False
easel,4,storage_slots,number of compartments,0.0,cut4,64.0,8.0,2.0,12.0,True
easel,5,tilt_angle_range,degrees,42.0,cut5,0.0,0.0,0.0,90.0,False
salmon,1,color_intensity,color score,70.0,cut1,0.0,1.0,1.0,10.0,False
salmon,2,fat_content,percent,100.0,cut2,0.0,2.0,2.0,12.0,False
salmon,3,freshness_rating,freshness score,27.0,cut3,0.0,1.0,1.0,10.0,False
salmon,4,portion_size,ounces,41.0,cut4,0.0,4.0,4.0,16.0,False
salmon,5,wild_caught_certainty,percent certainty,0.0,cut5,31.0,31.0,0.0,100.0,True
magnetic_calendar,1,surface_area,square inches,-24.0,cut1,0.0,100.0,100.0,600.0,False
magnetic_calendar,2,magnetic_strength,pounds of pull force,17.0,cut2,0.0,1.0,1.0,10.0,False
magnetic_calendar,3,writing_space_per_day,square inches,0.0,cut3,38.0,12.0,4.0,25.0,True
magnetic_calendar,4,included_magnets,pieces,30.0,cut4,0.0,0.0,0.0,20.0,False
magnetic_calendar,5,additional_note_space,square inches,-100.0,cut5,0.0,0.0,0.0,100.0,False
ham,1,curing_time,days,100.0,cut1,0.0,7.0,7.0,90.0,False
ham,2,smoke_intensity,smoke hours,80.0,cut2,0.0,0.0,0.0,48.0,False
ham,3,salt_content,percent,0.0,cut3,40.0,4.0,2.0,8.0,True
ham,4,moisture_content,percent,77.0,cut4,0.0,55.0,55.0,75.0,False
ham,5,protein_content,grams per 100g,-41.0,cut5,0.0,15.0,15.0,25.0,False
snow_blower,1,clearing_width,inches,-17.0,cut1,0.0,18.0,18.0,32.0,False
snow_blower,2,throwing_distance,feet,0.0,cut2,66.0,40.0,20.0,50.0,True
snow_blower,3,intake_height,inches,-100.0,cut3,0.0,12.0,12.0,24.0,False
snow_blower,4,runtime,minutes,77.0,cut4,0.0,30.0,30.0,120.0,False
snow_blower,5,noise_level,decibels,-94.0,cut5,0.0,85.0,85.0,105.0,False
ecg_monitor,1,battery_life,hours,0.0,cut1,54.0,96.0,12.0,168.0,True
ecg_monitor,2,recording_duration,minutes,89.0,cut2,0.0,1.0,1.0,30.0,False
ecg_monitor,3,data_transfer_speed,megabits per second,100.0,cut3,0.0,1.0,1.0,100.0,False
ecg_monitor,4,display_resolution,pixels,76.0,cut4,0.0,128.0,128.0,1024.0,False
ecg_monitor,5,storage_capacity,recordings,33.0,cut5,0.0,10.0,10.0,1000.0,False
dslr_camera,1,sensor_resolution,megapixels,-75.0,cut1,0.0,16.0,16.0,50.0,False
dslr_camera,2,continuous_shooting_speed,frames per second,-100.0,cut2,0.0,3.0,3.0,14.0,False
dslr_camera,3,battery_life,shots per charge,18.0,cut3,0.0,500.0,500.0,2000.0,False
dslr_camera,4,max_iso,ISO,0.0,cut4,36.0,40960.0,6400.0,102400.0,True
dslr_camera,5,weight,grams,23.0,cut5,0.0,400.0,400.0,1200.0,False
convertible,1,top_operation_time,seconds,91.0,cut1,0.0,10.0,10.0,30.0,False
convertible,2,acceleration,seconds 0-60 mph,-23.0,cut2,0.0,4.0,4.0,8.0,False
convertible,3,trunk_space_top_down,cubic feet,1.0,cut3,0.0,5.0,5.0,12.0,False
convertible,4,wind_noise,decibels at 60 mph,0.0,cut4,48.0,77.0,70.0,85.0,True
convertible,5,rollover_protection,maximum force resistance in kN,23.0,cut5,0.0,15.0,15.0,25.0,False
washi_tape,1,tape_width,millimeters,-99.0,cut1,0.0,3.0,3.0,50.0,False
washi_tape,2,adhesive_strength,grams per inch,-61.0,cut2,0.0,50.0,50.0,300.0,False
washi_tape,3,roll_length,meters,0.0,cut3,57.0,19.0,5.0,30.0,True
washi_tape,4,pattern_repeat_length,centimeters,100.0,cut4,0.0,1.0,1.0,20.0,False
washi_tape,5,opacity_percentage,percent,58.0,cut5,0.0,20.0,20.0,100.0,False
dry_bag,1,capacity,liters,-66.0,cut1,0.0,5.0,5.0,40.0,False
dry_bag,2,waterproof_rating,hours submerged at 1 meter,40.0,cut2,0.0,1.0,1.0,24.0,False
dry_bag,3,weight,ounces,78.0,cut3,0.0,2.0,2.0,16.0,False
dry_bag,4,compression_ratio,to 1 ratio,100.0,cut4,0.0,2.0,2.0,6.0,False
dry_bag,5,strap_length,inches,0.0,cut5,61.0,34.0,12.0,48.0,True
hair_dryer,1,power_output,watts,58.0,cut1,0.0,1200.0,1200.0,2200.0,False
hair_dryer,2,cord_length,feet,0.0,cut2,64.0,10.0,6.0,12.0,True
hair_dryer,3,weight,ounces,-95.0,cut3,0.0,12.0,12.0,32.0,False
hair_dryer,4,noise_level,decibels,-100.0,cut4,0.0,60.0,60.0,90.0,False
hair_dryer,5,heat_settings,number of settings,-80.0,cut5,0.0,2.0,2.0,6.0,False
balance_board,1,platform_diameter,inches,-84.0,cut1,0.0,11.0,11.0,20.0,False
balance_board,2,max_tilt_angle,degrees,76.0,cut2,0.0,10.0,10.0,40.0,False
balance_board,3,grip_surface_area,square inches,0.0,cut3,37.0,143.0,80.0,250.0,True
balance_board,4,weight_capacity,pounds,100.0,cut4,0.0,250.0,250.0,600.0,False
balance_board,5,platform_thickness,inches,-39.0,cut5,0.0,0.5,0.5,2.0,False
hoodie,1,fabric_weight,grams per square meter,-46.0,cut1,0.0,200.0,200.0,400.0,False
hoodie,2,cotton_percentage,percent,0.0,cut2,67.0,87.0,60.0,100.0,True
hoodie,3,pocket_size,cubic inches,23.0,cut3,0.0,20.0,20.0,100.0,False
hoodie,4,sleeve_length,inches,100.0,cut4,0.0,24.0,24.0,30.0,False
hoodie,5,hood_size,inches circumference,85.0,cut5,0.0,20.0,20.0,28.0,False
loan,1,interest_rate,percent,11.0,cut1,0.0,5.0,5.0,25.0,False
loan,2,loan_term,months,0.0,cut2,38.0,39.0,12.0,84.0,True
loan,3,funding_speed,days,-100.0,cut3,0.0,1.0,1.0,10.0,False
loan,4,payment_flexibility,number of payment date changes allowed per year,-93.0,cut4,0.0,0.0,0.0,12.0,False
loan,5,early_payoff_penalty,months of interest,79.0,cut5,0.0,0.0,0.0,12.0,False
mold_test,1,types_detected,mold species,-56.0,cut1,0.0,10.0,10.0,50.0,False
mold_test,2,lab_processing_time,days,0.0,cut2,66.0,7.0,1.0,10.0,True
mold_test,3,sample_area_coverage,square feet,100.0,cut3,0.0,100.0,100.0,2000.0,False
mold_test,4,detection_sensitivity,spores per cubic meter,-43.0,cut4,0.0,1.0,1.0,1000.0,False
mold_test,5,number_of_samples,samples per kit,25.0,cut5,0.0,1.0,1.0,10.0,False
boxing_gloves,1,padding_density,scale 1-10,-98.0,cut1,0.0,1.0,1.0,10.0,False
boxing_gloves,2,wrist_support_length,inches,-55.0,cut2,0.0,3.0,3.0,8.0,False
boxing_gloves,3,ventilation_rating,scale 1-10,92.0,cut3,0.0,1.0,1.0,10.0,False
boxing_gloves,4,impact_absorption,scale 1-10,0.0,cut4,47.0,5.0,1.0,10.0,True
boxing_gloves,5,flexibility_rating,scale 1-10,100.0,cut5,0.0,1.0,1.0,10.0,False
citrus_juicer,1,juice_yield,percent of total juice extracted,-81.0,cut1,0.0,50.0,50.0,95.0,False
citrus_juicer,2,pulp_filtration,filtration score,-94.0,cut2,0.0,1.0,1.0,10.0,False
citrus_juicer,3,max_fruit_diameter,inches,-42.0,cut3,0.0,3.0,3.0,8.0,False
citrus_juicer,4,stability_rating,stability score,0.0,cut4,37.0,4.0,1.0,10.0,True
citrus_juicer,5,ease_of_cleaning,cleaning score,-100.0,cut5,0.0,1.0,1.0,10.0,False
stopwatch,1,display_size,inches,100.0,cut1,0.0,0.5,0.5,2.5,False
stopwatch,2,memory_capacity,lap times,0.0,cut2,37.0,43.0,10.0,100.0,True
stopwatch,3,battery_life,hours,-96.0,cut3,0.0,50.0,50.0,500.0,False
stopwatch,4,water_resistance,meters,88.0,cut4,0.0,1.0,1.0,100.0,False
stopwatch,5,weight,grams,27.0,cut5,0.0,20.0,20.0,100.0,False
fins,1,blade_length,centimeters,-14.0,cut1,0.0,20.0,20.0,50.0,False
fins,2,thrust_power,newtons,52.0,cut2,0.0,20.0,20.0,60.0,False
fins,3,flexibility_rating,bend degrees,-99.0,cut3,0.0,15.0,15.0,45.0,False
fins,4,energy_efficiency,meters per kick,0.0,cut4,64.0,2.3,1.0,3.0,True
fins,5,ventilation_area,square centimeters,-19.0,cut5,0.0,10.0,10.0,40.0,False
lip_scrub,1,exfoliant_particle_size,micrometers,100.0,cut1,0.0,100.0,100.0,500.0,False
lip_scrub,2,moisturizing_duration,hours,-50.0,cut2,0.0,2.0,2.0,12.0,False
lip_scrub,3,scrub_intensity,grams of exfoliant per milliliter,0.0,cut3,32.0,0.23,0.1,0.5,True
lip_scrub,4,product_longevity,uses per container,-6.0,cut4,0.0,20.0,20.0,100.0,False
lip_scrub,5,absorption_time,minutes until fully absorbed,-98.0,cut5,0.0,1.0,1.0,10.0,False
hoe,1,handle_length,inches,-100.0,cut1,0.0,40.0,40.0,72.0,False
hoe,2,blade_width,inches,61.0,cut2,0.0,4.0,4.0,12.0,False
hoe,3,handle_grip_comfort,comfort rating,90.0,cut3,0.0,1.0,1.0,10.0,False
hoe,4,tool_weight,pounds,0.0,cut4,50.0,5.0,2.0,8.0,True
hoe,5,durability,years of expected use,-38.0,cut5,0.0,2.0,2.0,15.0,False
pilates_ring,1,ring_diameter,inches,-23.0,cut1,0.0,12.0,12.0,15.0,False
pilates_ring,2,resistance_level,pounds of force,-100.0,cut2,0.0,5.0,5.0,20.0,False
pilates_ring,3,padding_thickness,millimeters,0.0,cut3,43.0,9.0,5.0,15.0,True
pilates_ring,4,grip_quality,grip rating,23.0,cut4,0.0,1.0,1.0,10.0,False
pilates_ring,5,flexibility_rating,flex score,-10.0,cut5,0.0,1.0,1.0,10.0,False
oven,1,capacity,cubic feet,73.0,cut1,0.0,2.0,2.0,6.0,False
oven,2,max_temperature,degrees fahrenheit,71.0,cut2,0.0,450.0,450.0,550.0,False
oven,3,preheat_time,minutes,0.0,cut3,46.0,10.0,5.0,15.0,True
oven,4,rack_positions,positions,94.0,cut4,0.0,3.0,3.0,7.0,False
oven,5,self_clean_duration,hours,-8.0,cut5,0.0,2.0,2.0,5.0,False
sparkling_water,1,carbonation_level,volumes of CO2,0.0,cut1,58.0,3.3,1.0,5.0,True
sparkling_water,2,mineral_content,parts per million,-91.0,cut2,0.0,50.0,50.0,500.0,False
sparkling_water,3,bottle_size,fluid ounces,-94.0,cut3,0.0,8.0,8.0,33.0,False
sparkling_water,4,flavor_intensity,rating out of 10,-44.0,cut4,0.0,1.0,1.0,10.0,False
sparkling_water,5,bubble_size,microns,100.0,cut5,0.0,100.0,100.0,1000.0,False
gas_can,1,capacity,gallons,0.0,cut1,50.0,3.0,1.0,5.0,True
gas_can,2,flow_rate,gallons per minute,16.0,cut2,0.0,0.5,0.5,3.0,False
gas_can,3,durability_rating,years of expected life,-35.0,cut3,0.0,2.0,2.0,15.0,False
gas_can,4,spout_length,inches,-58.0,cut4,0.0,6.0,6.0,18.0,False
gas_can,5,empty_weight,pounds,100.0,cut5,0.0,1.0,1.0,5.0,False
golf_cart,1,max_speed,miles per hour,0.0,cut1,64.0,20.0,12.0,25.0,True
golf_cart,2,battery_life,hours,69.0,cut2,0.0,2.0,2.0,8.0,False
golf_cart,3,seat_comfort,comfort rating,19.0,cut3,0.0,1.0,1.0,10.0,False
golf_cart,4,storage_capacity,cubic feet,100.0,cut4,0.0,2.0,2.0,8.0,False
golf_cart,5,turning_radius,feet,-60.0,cut5,0.0,5.0,5.0,12.0,False
tongs,1,grip_length,inches,27.0,cut1,0.0,3.0,3.0,8.0,False
tongs,2,total_length,inches,75.0,cut2,0.0,9.0,9.0,16.0,False
tongs,3,grip_cushioning,millimeters of padding,-100.0,cut3,0.0,0.0,0.0,8.0,False
tongs,4,spring_tension,newtons,0.0,cut4,34.0,5.0,2.0,10.0,True
tongs,5,heat_resistance,degrees fahrenheit,76.0,cut5,0.0,200.0,200.0,600.0,False
sippy_cup,1,capacity,fluid ounces,-47.0,cut1,0.0,6.0,6.0,12.0,False
sippy_cup,2,spout_size,millimeters,75.0,cut2,0.0,8.0,8.0,15.0,False
sippy_cup,3,handle_length,inches,0.0,cut3,61.0,2.4,1.5,3.0,True
sippy_cup,4,spill_resistance,resistance score,-98.0,cut4,0.0,1.0,1.0,10.0,False
sippy_cup,5,grip_texture,texture rating,-100.0,cut5,0.0,1.0,1.0,10.0,False
windshield_cover,1,water_resistance,hours before leaking,-8.0,cut1,0.0,2.0,2.0,24.0,False
windshield_cover,2,insulation_rating,thermal resistance R-value,90.0,cut2,0.0,1.0,1.0,5.0,False
windshield_cover,3,uv_protection,percent of UV rays blocked,-100.0,cut3,0.0,70.0,70.0,99.0,False
windshield_cover,4,fold_compactness,cubic inches when folded,70.0,cut4,0.0,50.0,50.0,300.0,False
windshield_cover,5,wind_resistance,maximum wind speed in mph,0.0,cut5,41.0,36.0,20.0,60.0,True
console,1,storage_capacity,gigabytes,-88.0,cut1,0.0,250.0,250.0,2000.0,False
console,2,exclusive_games,number of exclusive titles,-96.0,cut2,0.0,5.0,5.0,50.0,False
console,3,processing_power,teraflops,-98.0,cut3,0.0,4.0,4.0,15.0,False
console,4,online_players,million monthly active users,100.0,cut4,0.0,20.0,20.0,100.0,False
console,5,warranty_length,months,0.0,cut5,68.0,28.0,12.0,36.0,True
stapler,1,staple_capacity,staples,-44.0,cut1,0.0,50.0,50.0,500.0,False
stapler,2,max_sheet_capacity,sheets,84.0,cut2,0.0,10.0,10.0,100.0,False
stapler,3,grip_comfort,comfort rating,0.0,cut3,69.0,7.0,1.0,10.0,True
stapler,4,jam_resistance,jam resistance rating,88.0,cut4,0.0,1.0,1.0,10.0,False
stapler,5,durability,years of expected use,-100.0,cut5,0.0,1.0,1.0,10.0,False
jewelry_kit,1,tool_quantity,count,75.0,cut1,0.0,3.0,3.0,15.0,False
jewelry_kit,2,findings_quantity,count,0.0,cut2,49.0,270.0,50.0,500.0,True
jewelry_kit,3,storage_compartments,count,84.0,cut3,0.0,4.0,4.0,24.0,False
jewelry_kit,4,plier_grip_length,inches,60.0,cut4,0.0,3.0,3.0,6.0,False
jewelry_kit,5,organization_rating,rating out of 100,47.0,cut5,0.0,1.0,1.0,100.0,False
antenna,1,reception_range,miles,0.0,cut1,58.0,98.0,25.0,150.0,True
antenna,2,number_of_channels_received,channels,-100.0,cut2,0.0,20.0,20.0,100.0,False
antenna,3,signal_strength,decibels,63.0,cut3,0.0,40.0,40.0,100.0,False
antenna,4,weather_resistance,mph wind resistance,49.0,cut4,0.0,30.0,30.0,120.0,False
antenna,5,size_compactness,inches diagonal,-72.0,cut5,0.0,10.0,10.0,40.0,False
house,1,lot_size,acres,88.0,cut1,0.0,0.1,0.1,2.0,False
house,2,square_footage,square feet,14.0,cut2,0.0,1000.0,1000.0,4000.0,False
house,3,age_of_house,years,12.0,cut3,0.0,0.0,0.0,100.0,False
house,4,distance_to_school,miles,0.0,cut4,51.0,2.6,0.1,5.0,True
house,5,energy_efficiency,energy rating,-13.0,cut5,0.0,1.0,1.0,100.0,False
electric_grill,1,cooking_surface_area,square inches,0.0,cut1,33.0,232.0,100.0,500.0,True
electric_grill,2,max_temperature,degrees fahrenheit,-3.0,cut2,0.0,400.0,400.0,600.0,False
electric_grill,3,heat_up_time,minutes,62.0,cut3,0.0,5.0,5.0,20.0,False
electric_grill,4,power_rating,watts,91.0,cut4,0.0,1200.0,1200.0,2400.0,False
electric_grill,5,cord_length,feet,100.0,cut5,0.0,3.0,3.0,10.0,False
tea,1,caffeine_content,mg per cup,40.0,cut1,0.0,0.0,0.0,70.0,False
tea,2,steeping_time,minutes,17.0,cut2,0.0,1.0,1.0,10.0,False
tea,3,antioxidant_level,mg per cup,0.0,cut3,55.0,243.0,50.0,400.0,True
tea,4,aroma_intensity,intensity score,-75.0,cut4,0.0,1.0,1.0,10.0,False
tea,5,astringency,astringency score,100.0,cut5,0.0,1.0,1.0,10.0,False
lint_roller,1,sheet_count,sheets per roll,16.0,cut1,0.0,30.0,30.0,120.0,False
lint_roller,2,roller_width,inches,-80.0,cut2,0.0,2.0,2.0,6.0,False
lint_roller,3,adhesive_strength,grams of force,0.0,cut3,62.0,143.0,50.0,200.0,True
lint_roller,4,handle_length,inches,-3.0,cut4,0.0,4.0,4.0,12.0,False
lint_roller,5,grip_comfort,comfort rating,-78.0,cut5,0.0,1.0,1.0,10.0,False
diaper_bag,1,storage_volume,liters,91.0,cut1,0.0,10.0,10.0,35.0,False
diaper_bag,2,number_of_pockets,count,98.0,cut2,0.0,4.0,4.0,20.0,False
diaper_bag,3,strap_length,inches,0.0,cut3,61.0,40.0,25.0,50.0,True
