scenario,attr1,attr2,attr3,attr4,attr5,cut1,cut2,cut3,cut4,cut5
cardigan,-97,-33,100,0,-58,0,0,0,47,0
ear_drops,0,-100,93,94,-56,67,0,0,0,0
epsom_salt,10,-81,-19,100,0,0,0,0,0,59
pizza,0,-72,30,-100,68,31,0,0,0,0
landscape_lighting,66,-32,49,25,0,0,0,0,0,64
litter_box,-100,-61,-28,0,38,0,0,0,52,0
medical_alert_bracelet,70,-90,0,-100,-2,0,0,35,0,0
chandelier,3,-42,43,-100,0,0,0,0,0,67
serving_tray,-89,-28,0,26,-100,0,0,40,0,0
sunshade,68,100,28,-87,0,0,0,0,0,45
heated_jacket,50,0,-21,85,100,0,54,0,0,0
scuba_tank,0,6,100,25,72,42,0,0,0,0
chopsticks,0,13,34,9,-55,70,0,0,0,0
whipped_cream_dispenser,-100,51,0,-80,-27,0,0,56,0,0
dip,0,-2,51,100,-94,59,0,0,0,0
watercolor_paper,79,-4,0,71,100,0,0,45,0,0
rv,-89,0,-100,-17,-13,0,68,0,0,0
lightning_cable,1,100,-33,-40,0,0,0,0,0,34
flyer,-35,-98,0,24,86,0,0,60,0,0
condo,-93,0,100,0,-21,0,0,0,62,0
jigsaw_puzzle,0,36,-26,100,-7,65,0,0,0,0
facial_hair_remover,93,0,-100,-40,52,0,68,0,0,0
parchment_paper,24,96,0,100,79,0,0,56,0,0
bear_bag,-23,4,-100,17,0,0,0,0,0,30
emergency_food,-86,-36,0,54,-100,0,0,67,0,0
swim_cap,-100,93,-98,9,0,0,0,0,0,30
stretcher_bars,100,97,-33,-84,0,0,0,0,0,36
knife,-26,100,0,-38,-43,0,0,68,0,0
smoothie,-45,73,92,0,100,0,0,0,65,0
sneakers,-52,69,0,50,97,0,0,56,0,0
gps,-100,-52,0,-57,-69,0,0,60,0,0
egg_slicer,-100,3,63,69,0,0,0,0,0,34
camping_stove,11,-34,0,3,-100,0,0,32,0,0
blender,-100,-39,53,82,0,0,0,0,0,70
heated_blanket,79,0,100,-64,-81,0,67,0,0,0
speakers,2,79,-15,0,-49,0,0,0,51,0
mask,0,27,-34,100,32,61,0,0,0,0
vacuum,0,-50,11,-100,54,63,0,0,0,0
rotary_cutter,68,-100,6,0,-45,0,0,0,62,0
grill_cover,-40,-34,48,-96,0,0,0,0,0,49
wetsuit,0,18,25,-30,-3,70,0,0,0,0
air_hockey_table,23,35,0,95,24,0,0,34,0,0
action_figures,43,-89,4,-2,0,0,0,0,0,66
projector_screen,36,100,81,0,54,0,0,0,68,0
cold_brew_maker,-9,100,53,0,19,0,0,0,68,0
facial_toner,8,-50,-100,0,58,0,0,0,52,0
kitchen_timer,-63,0,47,100,46,0,54,0,0,0
pedometer,81,-100,0,83,93,0,0,64,0,0
ice_scraper,0,-40,-100,-33,18,43,0,0,0,0
silicone_mat,50,-40,0,74,-100,0,0,56,0,0
bikini,23,-58,100,43,0,0,0,0,0,66
credit_card,0,-42,-26,90,100,42,0,0,0,0
dna_test_kit,-20,-59,-100,0,-60,0,0,0,54,0
down_jacket,0,-71,100,50,77,49,0,0,0,0
dryer,-11,-67,0,100,-13,0,0,62,0,0
waterproof_socks,-2,100,0,33,71,0,0,57,0,0
cordless_phone,-100,-39,-85,-2,0,0,0,0,0,46
shaving_cream,-14,0,-100,22,3,0,38,0,0,0
car_jack,-46,-100,85,0,38,0,0,0,31,0
stylus,0,-100,8,-34,-98,65,0,0,0,0
yoga_mat,-96,0,-68,17,-83,0,41,0,0,0
wedges,-75,100,0,14,-12,0,0,50,0,0
tampon,-19,0,-65,29,54,0,44,0,0,0
hamster,-80,0,-99,73,93,0,34,0,0,0
slippers,73,-77,-100,-47,0,0,0,0,0,35
flashlight_app,0,77,43,-100,-78,35,0,0,0,0
turkish_pot,100,69,-62,0,-55,0,0,0,45,0
visor,84,85,100,-66,0,0,0,0,0,54
skillet,100,-31,0,-70,91,0,0,41,0,0
garlic_press,25,-90,-100,70,0,0,0,0,0,49
spice_jars,98,100,0,-30,-10,0,0,50,0,0
bagel,-22,-6,-100,-77,0,0,0,0,0,38
messenger_bag,100,0,-94,-11,34,0,40,0,0,0
reusable_filter,-100,27,-63,0,-78,0,0,0,49,0
baby_gate,-100,0,-35,-12,-93,0,50,0,0,0
lunch,-89,0,7,100,47,0,52,0,0,0
pathway_lights,54,-31,100,-33,0,0,0,0,0,70
blood_pressure_monitor,98,-40,0,-100,-39,0,0,69,0,0
gesso,48,68,-100,77,0,0,0,0,0,55
file_cabinet,-94,0,-98,-77,25,0,36,0,0,0
car,0,-58,1,-49,-71,49,0,0,0,0
sewing_scissors,19,2,100,0,93,0,0,0,58,0
pad,0,-17,9,-100,-46,47,0,0,0,0
lifebuoy,-80,72,0,-80,-92,0,0,41,0,0
wireless_mouse,0,-31,24,39,82,58,0,0,0,0
video_game,0,-90,-47,22,100,43,0,0,0,0
windbreaker,-40,-4,-100,-97,0,0,0,0,0,52
chips,-84,-100,0,56,16,0,0,68,0,0
solar_garden_lights,-44,69,0,-39,86,0,0,34,0,0
rc_boat,100,0,-36,100,83,0,50,0,0,0
hostel,0,70,82,100,-19,48,0,0,0,0
dice_tower,-88,-54,0,-18,29,0,0,52,0,0
toothpaste,100,0,-2,-82,-91,0,50,0,0,0
hepa_filter,-88,0,-35,60,48,0,55,0,0,0
quilting_needles,100,0,-4,41,-96,0,35,0,0,0
usb_flash_drive,52,-100,2,15,0,0,0,0,0,40
stationary_bike,13,-1,-100,0,13,0,0,0,40,0
external_hard_drive,27,0,100,-39,-43,0,64,0,0,0
portable_purifier,-48,-100,63,0,-82,0,0,0,32,0
turkey,0,14,100,-70,-2,66,0,0,0,0
inverter,-60,85,-100,0,2,0,0,0,59,0
painting,-77,-48,100,-35,0,0,0,0,0,63
clipper,-100,0,-38,-22,27,0,63,0,0,0
magnetic_charging_cable,25,0,20,63,-48,0,30,0,0,0
hiking_boots,100,0,-24,68,4,0,69,0,0,0
mouth_guard,0,-13,9,-35,-76,36,0,0,0,0
goggles,-100,-28,-14,-79,0,0,0,0,0,32
nose_clip,20,100,0,-3,-47,0,0,41,0,0
matcha_powder,0,-48,80,-100,-93,65,0,0,0,0
cup,0,88,-15,98,-100,59,0,0,0,0
emergency_radio,-55,-22,-42,0,-24,0,0,0,69,0
contacts,51,-5,-74,-75,0,0,0,0,0,42
reflective_triangle,0,82,-75,-12,100,36,0,0,0,0
wakeboard,-15,-9,100,0,89,0,0,0,30,0
splatter_screen,-52,100,-92,0,66,0,0,0,50,0
fog_light,0,-53,-100,-80,-87,64,0,0,0,0
umbrella,-76,-37,0,-1,36,0,0,67,0,0
camera,-100,51,-21,-9,0,0,0,0,0,43
wine_glass,-74,8,0,97,-100,0,0,69,0,0
thermal_socks,59,-39,100,-35,0,0,0,0,0,56
chalkboard,-59,82,100,0,-38,0,0,0,41,0
disposable_cups,-100,31,95,-30,0,0,0,0,0,44
cotton_swabs,0,87,-48,-80,100,57,0,0,0,0
ice_cream_maker,-100,0,62,91,-78,0,51,0,0,0
garden_swing,-100,-18,0,39,56,0,0,43,0,0
gym_bag,-66,-72,8,0,-76,0,0,0,67,0
robot_vacuum,6,-20,0,31,67,0,0,68,0,0
tshirt,-100,-39,-90,0,-1,0,0,0,32,0
bench,100,-97,0,15,-85,0,0,38,0,0
hand_crank_light,-46,50,100,0,-97,0,0,0,42,0
sewing_pins,0,-59,83,-100,40,47,0,0,0,0
usb_splitter,0,-97,93,98,85,55,0,0,0,0
eye_mask,-39,-13,100,0,49,0,0,0,47,0
motion_sensor_light,-100,-36,0,70,-25,0,0,65,0,0
album,100,-72,-84,0,-61,0,0,0,59,0
outdoor_ping_pong,70,-15,-100,-81,0,0,0,0,0,30
batting,-100,78,0,-81,-58,0,0,56,0,0
bronzer,62,19,-100,-10,0,0,0,0,0,53
rc_car,25,-44,100,0,41,0,0,0,39,0
jewelry_cleaner,64,-28,-74,0,29,0,0,0,34,0
security_floodlight,52,100,19,-85,0,0,0,0,0,36
squat_rack,-100,94,56,0,27,0,0,0,45,0
soap,0,6,-5,57,-15,43,0,0,0,0
vest,23,0,-32,-100,-98,0,37,0,0,0
bean_bag,0,18,-100,-14,94,49,0,0,0,0
solar_shower,-3,-100,-16,-46,0,0,0,0,0,31
paternity_test,-45,24,0,-47,100,0,0,60,0,0
watch_case,-13,-100,0,55,-14,0,0,67,0,0
silver_necklace,19,-38,100,0,99,0,0,0,65,0
engagement_ring,22,0,30,-44,-100,0,61,0,0,0
toe_warmers,100,83,69,-51,0,0,0,0,0,49
glucose_meter,-78,0,-78,0,-100,0,0,0,66,0
kayak,86,9,0,100,8,0,0,69,0,0
garden_hose,100,92,-70,47,0,0,0,0,0,31
rollerblades,17,-100,48,27,0,0,0,0,0,58
smoke_detector,-90,0,-34,82,-100,0,33,0,0,0
processor,31,0,-100,8,66,0,40,0,0,0
headband,8,-68,-71,1,0,0,0,0,0,57
corn_stripper,-64,-100,0,-69,97,0,0,33,0,0
ski_boots,91,-100,23,0,-5,0,0,0,34,0
storage_bags,-68,57,-100,0,69,0,0,0,56,0
clipboard,-30,0,84,100,59,0,33,0,0,0
hairspray,-37,100,-48,-77,0,0,0,0,0,54
resort,-79,37,0,57,-100,0,0,46,0,0
pastry_brush,56,41,100,0,60,0,0,0,32,0
measuring_cups,60,-25,7,0,-56,0,0,0,36,0
first_aid_kit,96,0,-16,4,-100,0,61,0,0,0
walker,23,-100,-44,44,0,0,0,0,0,57
window_covering,-21,0,71,-100,-21,0,57,0,0,0
paint_brush,-100,-56,0,37,-80,0,0,60,0,0
hand_soap,24,0,84,-100,72,0,65,0,0,0
mouse_pad,0,59,93,85,-100,53,0,0,0,0
trunk_organizer,-15,83,-71,0,-31,0,0,0,31,0
tent,-8,0,100,22,-39,0,62,0,0,0
snack,-100,64,-19,0,37,0,0,0,35,0
cocktail_shaker,-45,-100,59,-94,0,0,0,0,0,49
smart_light_switch,-36,0,-7,-35,-42,0,70,0,0,0
cologne,-54,0,-65,-100,-94,0,49,0,0,0
snorkel,100,-42,8,0,19,0,0,0,46,0
tights,100,76,0,-69,-91,0,0,55,0,0
lawnmower,-72,-81,13,100,0,0,0,0,0,34
trekking_poles,0,89,-63,-100,-62,49,0,0,0,0
toolbox,56,46,0,100,31,0,0,35,0,0
obd_scanner,-100,75,-88,0,76,0,0,0,30,0
baby_lotion,21,-69,0,-81,-100,0,0,43,0,0
brochure,0,-49,-46,100,-56,31,0,0,0,0
drawing_tablet,100,34,0,-16,-78,0,0,58,0,0
heels,34,0,37,-83,-100,0,69,0,0,0
elbow_pads,20,81,100,-13,0,0,0,0,0,44
water_container,0,-79,8,100,-66,31,0,0,0,0
nightgown,100,-48,21,0,-64,0,0,0,30,0
loft,9,-30,100,-24,0,0,0,0,0,64
model_train_tracks,-8,-100,63,15,0,0,0,0,0,43
raincoat,0,5,97,-100,-51,56,0,0,0,0
lubricant,0,21,76,87,-100,38,0,0,0,0
radar_detector,20,16,0,33,-100,0,0,54,0,0
swim_fins,96,86,-100,15,0,0,0,0,0,64
ski_goggles,100,-70,-75,0,41,0,0,0,48,0
hand_warmers,-100,62,70,0,18,0,0,0,41,0
plate,100,-64,-7,0,-89,0,0,0,44,0
garment_bag,-100,-37,-6,3,0,0,0,0,0,45
wax_paper,70,-12,90,-29,0,0,0,0,0,44
rv_generator,-31,31,0,47,25,0,0,34,0,0
briefcase,0,78,-1,100,-8,70,0,0,0,0
potty_chair,33,100,0,-33,-91,0,0,32,0,0
swim_goggles,-60,0,72,93,-100,0,57,0,0,0
suv,82,94,100,-5,0,0,0,0,0,46
lizard,-100,0,17,-46,4,0,44,0,0,0
floor_cushion,-49,-100,-11,0,75,0,0,0,60,0
ice_melt,0,83,-95,-3,-100,33,0,0,0,0
concealer,-100,-96,0,8,24,0,0,31,0,0
streaming_device,0,-45,100,-79,68,31,0,0,0,0
baseball,0,-72,-83,-77,-100,41,0,0,0,0
steak,-39,-10,69,0,-100,0,0,0,44,0
suite,0,-53,4,100,-68,68,0,0,0,0
whiteboard_eraser,100,-36,-30,-22,0,0,0,0,0,31
face_serum,-100,79,59,-80,0,0,0,0,0,62
avocado_slicer,100,82,44,0,-31,0,0,0,48,0
baby_wipes,100,0,-9,-22,-27,0,52,0,0,0
linseed_oil,0,100,69,10,-75,46,0,0,0,0
smart_speaker,77,-41,-87,0,33,0,0,0,31,0
foot_file,0,-4,-63,-87,-100,36,0,0,0,0
spoon,-7,48,-7,-100,0,0,0,0,0,60
leg_warmers,100,36,0,-16,-41,0,0,54,0,0
baby_onesie,100,-25,0,73,-13,0,0,57,0,0
mop,0,100,61,22,-77,51,0,0,0,0
camper,98,99,-91,20,0,0,0,0,0,41
smoker,-92,0,89,-100,-77,0,52,0,0,0
meat_tenderizer,28,0,51,66,-49,0,55,0,0,0
motherboard,-16,0,59,7,-100,0,39,0,0,0
cap,-100,-36,0,-79,34,0,0,60,0,0
easel_pad,96,-100,26,66,0,0,0,0,0,60
cooling_rack,100,-91,-97,0,-68,0,0,0,55,0
plunger,59,3,55,100,0,0,0,0,0,54
excursion,86,0,-9,-100,55,0,68,0,0,0
log_splitter,0,44,29,-44,57,69,0,0,0,0
lantern,-16,22,68,0,100,0,0,0,33,0
poncho,21,46,88,0,-100,0,0,0,37,0
fanny_pack,72,100,-98,84,0,0,0,0,0,56
led_mask,57,-33,0,-100,93,0,0,63,0,0
usb_c_hub,70,-31,0,100,-11,0,0,67,0,0
arm_warmers,67,21,52,-100,0,0,0,0,0,67
wine_rack,-18,-73,-68,-22,0,0,0,0,0,38
magazine,1,31,23,0,-24,0,0,0,61,0
digital_photo_frame,67,89,0,-100,39,0,0,54,0,0
wood_stain,0,-50,-100,-77,35,59,0,0,0,0
nursing_pads,0,-7,62,-100,-92,32,0,0,0,0
leather_needles,0,-100,-64,-92,-40,54,0,0,0,0
needle_felting_kit,100,0,68,-72,16,0,52,0,0,0
desk,100,-31,0,90,51,0,0,63,0,0
oil_diffuser_necklace,73,89,64,-93,0,0,0,0,0,49
vacation,-89,-91,0,-100,-48,0,0,67,0,0
tongue_scraper,97,0,64,-9,-86,0,49,0,0,0
facial_steamer,32,63,0,88,100,0,0,58,0,0
chisel_set,-100,0,42,-56,-31,0,51,0,0,0
horseshoes_set,100,-85,-66,0,-64,0,0,0,52,0
wrench,35,-23,0,100,-15,0,0,33,0,0
murphy_bed,6,0,-38,100,-57,0,54,0,0,0
microdermabrasion,-31,75,100,0,-72,0,0,0,35,0
meat_injector,0,83,-100,-98,-24,58,0,0,0,0
pasta,95,49,0,-100,-67,0,0,52,0,0
candle,58,16,-83,-66,0,0,0,0,0,64
restaurant,-100,-100,0,62,41,0,0,44,0,0
kombucha_kit,-100,0,44,-30,73,0,36,0,0,0
shoes,100,94,0,-37,64,0,0,67,0,0
corkscrew,100,-84,-34,40,0,0,0,0,0,34
dinner,100,99,0,26,89,0,0,31,0,0
arcade_cabinet,-88,7,-100,27,0,0,0,0,0,58
ladle,81,-18,28,-100,0,0,0,0,0,43
car_polish,79,0,100,-1,-21,0,61,0,0,0
ice_pack,-61,0,12,-100,-43,0,46,0,0,0
moisturizer,100,0,-7,-20,7,0,47,0,0,0
padded_envelope,-100,0,78,-45,-44,0,48,0,0,0
water_park,-50,84,100,0,80,0,0,0,61,0
string_lights,54,97,0,-100,-72,0,0,33,0,0
chair_cushions,6,-50,0,-100,30,0,0,38,0,0
broker,96,0,29,4,100,0,63,0,0,0
internship,-88,-35,0,-100,83,0,0,69,0,0
card_shuffler,72,77,-16,0,-100,0,0,0,54,0
bait,0,10,100,-95,-52,44,0,0,0,0
fork,0,30,-4,-100,4,51,0,0,0,0
tweezers,100,-32,52,0,-89,0,0,0,34,0
lawyer,0,-16,-21,-49,-100,46,0,0,0,0
foosball_table,0,-100,-77,-16,-20,49,0,0,0,0
fifth_wheel,77,-6,85,0,-100,0,0,0,65,0
tripod,-99,0,-100,-24,-81,0,68,0,0,0
siphon,46,-100,66,42,0,0,0,0,0,66
stand_mixer,45,-56,-19,0,-100,0,0,0,69,0
sedan,92,84,-100,0,86,0,0,0,42,0
aluminum_foil,-83,-100,0,11,86,0,0,42,0,0
chemex,3,0,-46,70,49,0,70,0,0,0
rubber_stamps,-86,0,-82,52,100,0,64,0,0,0
sketchbook,0,-100,-57,60,-71,68,0,0,0,0
bassinet,0,-52,-63,-52,-100,39,0,0,0,0
tackle_box,50,100,0,80,-21,0,0,69,0,0
pc_case,-73,100,72,-57,0,0,0,0,0,52
tie,-82,-100,0,63,-67,0,0,32,0,0
reading_glasses,-67,100,96,0,-1,0,0,0,57,0
snowmobile,-25,-44,35,0,-100,0,0,0,55,0
atv,-46,-88,0,-74,-36,0,0,66,0,0
glue_stick,-21,0,100,-36,-20,0,37,0,0,0
spade,100,72,-4,-66,0,0,0,0,0,36
wrist_rest,58,-53,-18,0,-100,0,0,0,66,0
pie_dish,100,-100,0,-54,-80,0,0,65,0,0
foundation,-100,0,68,-59,89,0,38,0,0,0
